'Abatis' 100mm Steel Plates	铁网100mm钢附甲板
'Inception' Target Painter Blueprint	起源目标标记装置蓝图
'Ingenii' Ice Harvester Upgrade	因吉冰矿采集能力提升器
'Instant Recall'	'即时记忆能力训练'
'Integrated' Acolyte	集成型侍僧
'Integrated' Acolyte Blueprint	集成型侍僧蓝图
'Integrated' Berserker	集成型狂战士
'Integrated' Berserker Blueprint	集成型狂战士蓝图
'Integrated' Hammerhead	集成型战锤
'Integrated' Hammerhead Blueprint	集成型战锤蓝图
'Integrated' Hobgoblin	集成型地精灵
'Integrated' Hobgoblin Blueprint	集成型地精灵蓝图
'Integrated' Hornet	集成型大黄蜂
'Integrated' Hornet Blueprint	集成型大黄蜂蓝图
'Integrated' Infiltrator	集成型渗透者
'Integrated' Infiltrator Blueprint	集成型渗透者蓝图
'Integrated' Ogre	集成型蛮妖
'Integrated' Ogre Blueprint	集成型蛮妖蓝图
'Integrated' Praetor	集成型执政官
'Integrated' Praetor Blueprint	集成型执政官蓝图
'Integrated' Valkyrie	集成型瓦尔基里
'Integrated' Valkyrie Blueprint	集成型瓦尔基里蓝图
'Integrated' Vespa	集成型金星
'Integrated' Vespa Blueprint	集成型金星蓝图
'Integrated' Warrior	集成型武士
'Integrated' Warrior Blueprint	集成型武士蓝图
'Integrated' Wasp	集成型胡蜂
'Integrated' Wasp Blueprint	集成型胡蜂蓝图
'Interruptive' Warp Disruptor	中断跃迁扰断器
'Interruptive' Warp Disruptor Blueprint	中断跃迁扰断器蓝图
'Investor' Tracking Disruptor I	围堵索敌扰断器 I
'Investor' Tracking Disruptor I Blueprint	围堵索敌扰断器蓝图 I
'Iron Will'	'意志力训练'
'Izanami' Sentinel C-I+	Defender Special Issue Mk II-C
'Jotunn' Sentinel M-I+	Defender Special Issue Mk II-M
'Joust' Heavy Pulse Laser I	马枪重型脉冲激光器 I
'Joust' Heavy Pulse Laser I Blueprint	马枪重型脉冲激光器蓝图 I
'Judgment' Electromagnetic Doomsday	'审判之日'电磁末日武器
'Judgment' Electromagnetic Doomsday Blueprint	'审判之日'电磁末日武器蓝图
'Kindred' Gyrostabilizer	宗族回转稳定器
'Kindred' Gyrostabilizer Blueprint	宗族回转稳定器蓝图
'Knight' Medium Remote Capacitor Transmitter	骑士中型远程电容传输装置
'Knight' Medium Remote Capacitor Transmitter Blueprint	骑士中型远程电容传输装置蓝图
'Lance' Medium EMP Smartbomb I	战矛中型电磁脉冲立体炸弹 I
'Lance' Medium EMP Smartbomb I Blueprint	战矛中型电磁脉冲立体炸弹蓝图 I
'Langour' Drive Disruptor I	朗戈尔动力扰断器 I
'Learning'	'能力学'
'Libram' Data Analyzer I	圣契数据分析仪 I
'Libram' Data Analyzer I Blueprint	圣契数据分析仪蓝图 I
'Limos' Cruise Launcher I	房车巡航发射器 I
'Limos' Rapid Heavy Missile Launcher I	房车重型快速导弹发射器
'Limos' Rocket Launcher I	房车火箭发射器 I
'Logic'	'逻辑思维理论'
'Longbow' Servitor	长弓核心系统调节器
'Longbow' Small Focused Pulse Laser I	长弓小型聚焦脉冲激光器 I
'Longbow' Small Focused Pulse Laser I Blueprint	长弓小型聚焦脉冲激光器蓝图 I
'Love' Medium Remote Armor Repairer	亲密中型远程装甲维修器
'Love' Medium Remote Armor Repairer Blueprint	亲密中型远程装甲维修器蓝图
'Mace' Dual Light Beam Laser I	权杖双联轻型集束激光器 I
'Mace' Dual Light Beam Laser I Blueprint	权杖双联轻型集束激光器蓝图 I
'Mafia' Energized Kinetic Membrane I	黑手党电压式动能薄膜 I
'Mafia' Energized Kinetic Membrane I Blueprint	黑手党电压式动能薄膜 I 蓝图
'Magni' Assault M-I+	Frontline Special Issue Mk II-M
'Magpie' Mobile Tractor Unit	喜鹊移动式牵引装置
'Magpie' Mobile Tractor Unit Blueprint	喜鹊移动式牵引装置蓝图
'Malkuth' Cruise Launcher I	马库斯巡航发射器 I
'Malkuth' Heavy Missile Launcher I	马库斯重型导弹发射器 I
'Malkuth' Rapid Heavy Missile Launcher I	马库斯重型快速导弹发射器 I
'Malkuth' Rocket Launcher I	马库斯火箭发射器 I
'Mangonel' Heat Sink I	战车散热槽 I
'Mangonel' Heat Sink I Blueprint	战车散热槽蓝图 I
'Marketeer' Tracking Computer	集市索敌计算机
'Marketeer' Tracking Computer Blueprint	集市索敌计算机蓝图
'Marshall' Magnetometric ECM	马歇尔磁力ECM
'Marshall' Magnetometric ECM Blueprint	马歇尔磁力ECM蓝图
'Meditation' Medium Armor Repairer I	冥思中型装甲维修器 I
'Meditation' Medium Armor Repairer I Blueprint	冥思中型装甲维修器蓝图 I
'Memnon' Assault G-I+	Frontline Special Issue Mk II-G
'Mendicant' Signal Booster I	乞丐信号增效器 I
'Micro' Cap Battery	微型电容器电池
'Micro' Remote Shield Booster	微型远程护盾回充增量器
'Monopoly' Magnetic Field Stabilizer	垄断磁性力场稳定器
'Monopoly' Magnetic Field Stabilizer Blueprint	垄断磁性力场稳定器蓝图
'Moonshine' Energized Thermal Membrane I	月光电压式热能薄膜 I
'Moonshine' Energized Thermal Membrane I Blueprint	月光电压式热能薄膜蓝图 I
'Motte' Capacitor Power Relay I	灌木电容能源继电器 I
'Motte' Capacitor Power Relay I Blueprint	灌木电容能源继电器蓝图 I
'Natura' Warp Core Stabilizer I	自然跃迁核心稳定器 I
'Natura' Warp Core Stabilizer I Blueprint	自然跃迁核心稳定器蓝图 I
'Noose' Cruise Missile Launcher	绞架巡航导弹发射器
'Noose' Cruise Missile Launcher Blueprint	绞架巡航导弹发射器蓝图
'Nugget' Kinetic Deflection Field	金砖动能偏阻力场
'Nugget' Kinetic Deflection Field Blueprint	金砖动能偏阻力场蓝图
'Oblivion' Kinetic Doomsday	'湮没之圣光'动能末日武器
'Oblivion' Kinetic Doomsday Blueprint	'湮没之圣光'动能末日武器蓝图
'Orion' Tracking CPU I	猎户索敌芯片 I
'Pacifier' Large Remote Armor Repairer	安抚者大型远程装甲维修器
'Pacifier' Large Remote Armor Repairer Blueprint	安抚者大型远程装甲维修器蓝图
'Packrat' Mobile Tractor Unit	林鼠移动式牵引装置
'Packrat' Mobile Tractor Unit Blueprint	林鼠移动式牵引装置蓝图
'Page' Capacitor Flux Coil I	佩奇电容通量线圈 I
'Page' Capacitor Flux Coil I Blueprint	佩奇电容通量线圈蓝图 I
'Palisade' Cap Recharger I	木栅电容回充器 I
'Palisade' Cap Recharger I Blueprint	木栅电容回充器蓝图 I
'Pandemonium' Ballistic Enhancement	宣泄弹道增强器 I
'Peace' Large Remote Armor Repairer	宁静大型远程装甲维修器
'Peace' Large Remote Armor Repairer Blueprint	宁静大型远程装甲维修器蓝图
'Penumbra' White Noise ECM	月食白噪ECM发生器 I
'Phase' Servitor	相位核心系统调节器
'Pickaxe' Rapid Light Missile Launcher	长镐轻型快速导弹发射器
'Pickaxe' Rapid Light Missile Launcher Blueprint	长镐轻型快速导弹发射器蓝图
'Pike' Small EMP Smartbomb I	长枪小型电磁脉冲立体炸弹 I
'Pike' Small EMP Smartbomb I Blueprint	长枪小型电磁脉冲立体炸弹蓝图 I
'Pilfer' Energized Adaptive Nano Membrane I	偷窃电压式适应性纳米薄膜 I
'Pilfer' Energized Adaptive Nano Membrane I Blueprint	偷窃电压式适应性纳米薄膜蓝图 I
'Plough' Heavy Capacitor Booster I	犁重型电容注电器 I
'Plough' Heavy Capacitor Booster I Blueprint	犁重型电容注电器蓝图 I
'Plow' Gas Cloud Harvester	除雪机气云采集器
'Plow' Gas Cloud Harvester Blueprint	除雪机气云采集器蓝图
'Plunderer' Gravimetric ECM	掠夺者引力ECM
'Plunderer' Gravimetric ECM Blueprint	掠夺者引力ECM蓝图
'Poacher' EM Ward Field	入侵者电磁防护力场
'Poacher' EM Ward Field Blueprint	入侵者电磁防护力场蓝图
'Portcullis' Reactor Control Unit I	铁闸反应堆控制元件 I
'Portcullis' Reactor Control Unit I Blueprint	铁闸反应堆控制元件蓝图 I
'Posse' Adaptive Invulnerability Field	民团自适应全能力场
'Posse' Adaptive Invulnerability Field Blueprint	民团自适应全能力场蓝图
'Prayer' Remote Tracking Computer	祈祷者远距索敌计算机
'Presence'	'高级社交能力培训'
'Prospector' EM Ward Amplifier	掘金者电磁防护增效器
'Prospector' EM Ward Amplifier Blueprint	掘金者电磁防护增效器蓝图
'Protest' Large Armor Repairer I	抗击大型装甲维修器 I
'Protest' Large Armor Repairer I Blueprint	抗击大型装甲维修器蓝图 I
'Racket' Light Neutron Blaster I	糜烂轻型中子疾速炮 I
'Racket' Light Neutron Blaster I Blueprint	糜烂轻型中子疾速炮蓝图 I
'Radical' Damage Control	激进者损伤控制
'Radical' Damage Control Blueprint	激进者损伤控制蓝图
'Recusant' Hostile Targeting Array I	异端敌对锁定天线阵列 I
'Refuge' Adaptive Nano Plating I	避难所适应性纳米附甲 I
'Repose' Core Compensation	休眠核心补偿器 I
'Saddle' Small Capacitor Booster I	鞍马小型电容注电器 I
'Saddle' Small Capacitor Booster I Blueprint	鞍马小型电容注电器蓝图 I
'Sarak' Assault A-I+	Frontline Special Issue Mk II-A
'Scarab' Layered Plating I	圣甲虫覆层附甲 I
'Screaming' Dewak Humfry	狂叫的迪沃克·汉姆菲
'Serpentis' GA-H SKIN	'天蛇'GA-H涂装
'Shady' Sensor Booster	阴暗感应增强器
'Shady' Sensor Booster Blueprint	阴暗感应增强器蓝图
'Silvershore' Greatcoat	'银岸'大衣
'Skadi' Coolant System I	斯卡迪冷却系统 I
'Slither' Heavy Electron Blaster I	蛇行重型电子疾速炮 I
'Slither' Heavy Electron Blaster I Blueprint	蛇行重型电子疾速炮蓝图I
'Smokescreen' Covert Ops Cloaking Device II	烟幕隐秘行动隐形装置 II
'Smokescreen' Covert Ops Cloaking Device II Blueprint	烟幕隐秘行动隐形装置蓝图 II
'Snake Eyes' Explosive Deflection Field	蛇眼爆炸偏阻力场
'Snake Eyes' Explosive Deflection Field Blueprint	蛇眼爆炸偏阻力场蓝图
'Spatial Awareness'	'空间感知学'
'Spiegel' EM Plating I	镜铁电磁附甲 I
'Squire' Small Remote Capacitor Transmitter	随从小型远程电容传输装置
'Squire' Small Remote Capacitor Transmitter Blueprint	随从小型远程电容传输装置蓝图
'Stalwart' Particle Field Magnifier	刚毅粒子力场放大器 I
'Stoic' Core Equalizer I	坚韧核心平衡器 I
'Swindler' Electron Blaster Cannon I	骗子电子疾速加农炮 I
'Swindler' Electron Blaster Cannon I Blueprint	骗子电子疾速加农炮蓝图 I
'Thurifer' Large Cap Battery	侍僧大型电容器电池
'Thurifer' Large Cap Battery Blueprint	侍僧大型电容器电池蓝图
'Trebuchet' Heat Sink Blueprint	飞石散热槽蓝图
'Trebuchet' Heat Sink I	飞石散热槽 I
'True Creations' Manufacture Passcard	忠实制造制造厂通行卡
'True Power' Assembly Security HQ	实力派联合安全总部
'Tycoon' Remote Tracking Computer	将军远距索敌计算机
'Tycoon' Remote Tracking Computer Blueprint	将军远距索敌计算机蓝图
'Ukko' Assault C-I+	Frontline Special Issue Mk II-C
'Underhand' Neutron Blaster Cannon I	欺瞒中子疾速加农炮 I
'Underhand' Neutron Blaster Cannon I Blueprint	欺瞒中子疾速加农炮蓝图 I
'Undertaker' Heavy Missile Launcher	挑战者重型导弹发射器
'Undertaker' Heavy Missile Launcher Blueprint	挑战者重型导弹发射器蓝图
'Warhammer' Large EMP Smartbomb I	战锤大型电磁脉冲立体炸弹 I
'Warhammer' Large EMP Smartbomb I Blueprint	战锤大型电磁脉冲立体炸弹蓝图 I
'Wetu' Mobile Depot	小屋移动式仓库
'Wetu' Mobile Depot Blueprint	小屋移动式仓库蓝图
'Whiskey' Explosive Deflection Amplifier	威士忌爆炸偏阻增效器
'Whiskey' Explosive Deflection Amplifier Blueprint	威士忌爆炸偏阻增效器蓝图
'Wild' Miner I	野性采矿器 I
'Wild' Miner I Blueprint	野性采矿器蓝图 I
'Yurt' Mobile Depot	帐篷移动式仓库
'Yurt' Mobile Depot Blueprint	帐篷移动式仓库蓝图
*Sneaks in a classic*	《偷偷摸摸的艺术》
100 Aurum Token	100AUR代币
1000 Aurum Token	1000AUR代币
10000MN Afterburner I	10000MN加力燃烧器 I
10000MN Afterburner I Blueprint	10000MN加力燃烧器蓝图 I
10000MN Afterburner II	10000MN加力燃烧器 II
10000MN Afterburner II Blueprint	10000MN加力燃烧器蓝图 II
10000MN Monopropellant Enduring Afterburner	单元推进持久型10000MN加力燃烧器
10000MN Monopropellant Enduring Afterburner Blueprint	单元推进持久型10000MN加力燃烧器蓝图
10000MN Y-S8 Compact Afterburner	Y-S8紧凑型10000MN加力燃烧器
10000MN Y-S8 Compact Afterburner Blueprint	Y-S8紧凑型10000MN加力燃烧器蓝图
100MN Afterburner I	100MN加力燃烧器 I
100MN Afterburner I Blueprint	100MN加力燃烧器蓝图 I
100MN Afterburner II	100MN加力燃烧器 II
100MN Afterburner II Blueprint	100MN加力燃烧器蓝图 II
100MN Analog Booster Afterburner	100MN模拟助推加力燃烧器
100MN Analog Booster Afterburner Blueprint	100MN模拟助推加力燃烧器蓝图
100MN Monopropellant Enduring Afterburner	单元推进持久型100MN加力燃烧器
100MN Y-S8 Compact Afterburner	Y-S8紧凑型100MN加力燃烧器
100km Capture Point	100KM争夺点
100mm Armor Plate	100mm装甲附甲板
100mm Crystalline Carbonide Restrained Plates	100mm抑制型碳化晶体附甲板
100mm Reinforced Nanofiber Plates I	100mm强化纳米纤维附甲板 I
100mm Reinforced Titanium Plates I	100mm强化钛附甲板 I
100mm Rolled Tungsten Compact Plates	100mm紧凑型包金钨附甲板
100mm Steel Plates I	100mm钢附甲板 I
100mm Steel Plates I Blueprint	100mm钢附甲板蓝图 I
100mm Steel Plates II	100mm钢附甲板 II
100mm Steel Plates II Blueprint	100mm钢附甲板蓝图 II
10MN Afterburner I	10MN加力燃烧器 I
10MN Afterburner I Blueprint	10MN加力燃烧器蓝图 I
10MN Afterburner II	10MN加力燃烧器 II
10MN Afterburner II Blueprint	10MN加力燃烧器蓝图 II
10MN Analog Booster Afterburner	10MN模拟助推加力燃烧器
10MN Analog Booster Afterburner Blueprint	10MN模拟助推加力燃烧器蓝图
10MN Monopropellant Enduring Afterburner	单元推进持久型10MN加力燃烧器
10MN Y-S8 Compact Afterburner	Y-S8紧凑型10MN加力燃烧器
10km Amarr Capture Point	10千米艾玛争夺点
10km Caldari Capture Point	10km加达里争夺点
10km Gallente Capture Point	10km盖伦特争夺点
10km Minmatar Capture Point	10km米玛塔尔争夺点
10mn webscramblifying Drone	10MN跃迁干扰无人机
10th Tier Overseer's Personal Effects	10级监察官的个人财产
